"latitude";"longitude";"UK";"TIT";"LIE";"AUT";"ATT";"SIE";"LKP"
"47.997542";"-4.097899";25106;"Vénus endormie";"Musée des Beaux-Arts (Quimper)";"Abate Nicolò dell'";"de";"16e";"folder_0001/folder_0121/elem_0088/FR29_0025_MUS_8731635_0049_low.jpg"
"48.860591";"2.337582";22604;"Le Vannage du grain";"Musée du Louvre (Paris)";"Abbate Guilio Camillo";"attribué à";"16e";"folder_0003/folder_0119/elem_0058/FR75_0002_MUS_22604_0628_low.jpg"
"48.2973451";"4.0744009";22321;"Les Marchands chassés du Temple";"Musée d'Art, d'Archéologie et de Sciences naturelles (Troyes)";"Abbiati Filippo";"attribué à";"17e";"folder_0001/folder_0247/elem_0190/FR10_0001_MUS_D1017_0055_low.jpg"
"46.452222";"4.120665";131558;"Pierre de Vérone éloignant une fausse Madone / L'Apparition diabolique dissipée";"Musée eucharistique du Hieron (Paray-le-Monial)";"Abbiati Filippo";"copié d'après";"19e";"folder_0004/folder_0017/elem_0041/FR71_0002_MUS_131558_0055_low.jpg"
"43.949317";"4.805528";31636;"La Vierge apparaissant aux évêques lors du concile d'Ephèse";"Musée Calvet (Avignon)";"Abbiati Filippo";"de";"17e";"folder_0004/folder_0005/elem_0117/FR84_0002_MUS_31636_0120_low.jpg"
"45.764043";"4.835659";11613;"Portrait de jeune homme";"Musée des Beaux-Arts (Lyon)";"Agnolo di Domenico del Mazziere";"attribué à";"15e";"folder_0003/folder_0214/elem_0230/FR69_0007_MUS_11613_0035_low.jpg"
"48.875438";"2.31052";16578;"Saint Antoine de Padoue, saint Bonaventure, saint François d'Assise, sainte Claire et sainte Marguerite de Cortone";"Musée Jacquemart-André (Paris)";"Agnolo di Domenico del Mazziere";"attribué à";"15e";"folder_0003/folder_0126/elem_0209/FR75_0006_MUS_16578_0108_low.jpg"
"48.860591";"2.337582";23119;"L'Adoration des bergers";"Musée du Louvre (Paris)";"Agnolo di Domenico del Mazziere";"attribué à";"15e";"folder_0003/folder_0119/elem_0203/FR75_0002_MUS_23119_0773_low.jpg"
"43.949317";"4.805528";14663;"Saint Léonard et saint Jacques le Majeur";"Musée du Petit Palais (Avignon)";"Agnolo di Domenico del Mazziere";"attribué à";"15e";"folder_0003/folder_0250/elem_0031/FR84_0001_MUS_14663_0176_low.jpg"
"43.949317";"4.805528";14665;"La Flagellation du Christ";"Musée du Petit Palais (Avignon)";"Agnolo di Domenico del Mazziere";"de";"15e";"folder_0003/folder_0250/elem_0032/FR84_0001_MUS_14665_0177_low.jpg"
"47.236387";"0.1274579";131251;"L'Adoration des bergers";"Eglise (Chouzé-sur-Loire)";"Alba Macrino d'";"attribué à";"16e";"folder_0004/folder_0075/elem_0196/UK_131251_low.jpg"
"46.977195";"2.965574";24798;"La Mise au tombeau / Complainte sur le Christ mort";"Eglise Saint-Saturnin (Le Chautay)";"Alba Macrino d'";"de";"16e";"folder_0001/folder_0120/elem_0109/FR18_0005_REL_0001_low.jpg"
"48.860591";"2.337582";23521;"Dieu le Père dans sa gloire, environné d'anges / Le Père Éternel et l'ange Gabriel";"Musée du Louvre (Paris)";"Albani Francesco";"copié d'après";"17e";"folder_0003/folder_0118/elem_0126/FR75_0002_MUS_23521_0446_low.jpg"
"48.402116";"2.699949";21508;"L'Amour désarmé par les nymphes de Diane";"Musée national du Château (Fontainebleau)";"Albani Francesco";"copié d'après";"18e";
"49.443232";"1.099971";22358;"Actéon métamorphosé en cerf par Diane";"Musée des Beaux-Arts (Rouen)";"Albani Francesco";"copié d'après";"17e";"folder_0001/folder_0250/elem_0098/FR76_0006_MUS_932612_0053_low.jpg"
"44.4475229";"1.441989";139996;"Baptême du Christ";"Eglise paroissiale Saint-Urcisse (Cahors)";"Albani Francesco";"copié d'après";"17e";"folder_0003/folder_0249/elem_0075/FR46_0003_REL_139996_0005_low.jpg"
"47.619788";"6.15428";25426;"L'Annonciation";"Eglise Saint-Georges (Vesoul)";"Albani Francesco";"copié d'après";"17e";"folder_0004/folder_0075/elem_0022/FR70_0001_REL_25426_0015_low.jpg"
"43.515244";"0.403424";30867;"L'Aurore";"Musée des Beaux-Arts et des Arts décoratifs (Mirande)";"Albani Francesco";"copié d'après";"17e";"folder_0003/folder_0190/elem_0210/FR32_0002_30867_0002_low.jpg"
"42.167614";"8.800977";104813;"L'Annonciation";"Eglise paroissiale Sainte-Marie (Vico)";"Albani Francesco";"copié d'après";"17e";"folder_0004/folder_0090/elem_0072/FR2A_0002_REL_104813_0069_low.jpg"
"43.3716982";"5.3596497";31552;"L'Annonciation";"Eglise Saint-Antoine (Saint-Antoine)";"Albani Francesco";"copié d'après";"non précisé";"folder_0002/folder_0017/elem_0174/FR15_0004_REL_UK_31552_0007_low.jpg"
"45.774994";"3.498887";31609;"Le Repos pendant la fuite en Egypte";"Château d'Aulteribe (Sermentizon)";"Albani Francesco";"attribué à";"non précisé";"folder_0002/folder_0017/elem_0039/FR63_0003_MUS_UK_31609_0013_low.jpg"
"43.062951";"0.145842";30580;"Thétis fendant les ondes sur le dos d'un dauphin";"Musée Saliès (Bagnères-de-Bigorre)";"Albani Francesco";"attribué à";"17e";
"45.833619";"1.261105";30464;"Le Feu";"Musée des Beaux-Arts (Limoges)";"Albani Francesco";"attribué à";"17e";"folder_0004/folder_0075/elem_0176/FR87_0001_MUS_30464_0009_low.jpg"
"43.6473451";"0.5879346";31015;"Le Repos de la Sainte Famille";"Musée des Jacobins (Auch)";"Albani Francesco";"attribué à";"17e";
"48.117266";"-1.6777926";15166;"Actéon changé en cerf";"Musée des Beaux-Arts (Rennes)";"Albani Francesco";"copié d'après";"17e";"folder_0001/folder_0122/elem_0008/FR35_0013_MUS_1949261_0049_low.jpg"
"47.218371";"-1.553621";30178;"Actéon métamorphosé en cerf";"Musée d'arts de Nantes";"Albani Francesco";"copié d'après";"17e";"folder_0002/folder_0016/elem_0103/FR44_0001_MUS_UK_30178_Inv2_0377_low.jpg"
"43.515244";"0.403424";30864;"Vénus sur les eaux";"Musée des Beaux-Arts et des Arts décoratifs (Mirande)";"Albani Francesco";"attribué à";"17e";"folder_0003/folder_0190/elem_0209/FR32_0002_30864_0001_low.jpg"
"48.117266";"-1.6777926";15165;"Actéon changé en cerf";"Musée des Beaux-Arts (Rennes)";"Albani Francesco";"copié d'après";"17e";"folder_0001/folder_0122/elem_0025/FR35_0013_MUS_D187212_0048_low.jpg"
"45.833619";"1.261105";30466;"L'Eau";"Musée des Beaux-Arts (Limoges)";"Albani Francesco";"attribué à";"17e";"folder_0004/folder_0075/elem_0178/FR87_0001_MUS_30466_0011_low.jpg"
"48.856614";"2.3522219";31217;"La Fécondité";"Présidence du Sénat (Paris)";"Albani Francesco";"attribué à";"non précisé";
"47.459605";"3.518769";10026;"L'Annonciation";"Musée d'art et d'histoire Romain Rolland (Clamecy)";"Albani Francesco";"attribué à";"17e";"folder_0003/folder_0007/elem_0102/FR58_0002_MUS_010026_0004_low.jpg"
"49.6288218";"-1.6188109";10025;"L'Annonciation";"Musée Thomas Henry (Cherbourg)";"Albani Francesco";"attribué à";"17e";"folder_0001/folder_0248/elem_0086/FR50_0002_MUS_8351a_0013_low.jpg"
"45.833619";"1.261105";30467;"La Terre";"Musée des Beaux-Arts (Limoges)";"Albani Francesco";"attribué à";"17e";"folder_0004/folder_0075/elem_0179/FR87_0001_MUS_30467_0012_low.jpg"
"50.29205";"2.773667";30928;"La Vierge et l'Enfant";"Musée des Beaux-Arts (Arras)";"Albani Francesco";"attribué à";"17e";
"48.848271";"2.337294";21462;"La Fécondité dit aussi La Charité";"Palais du Luxembourg (Paris)";"Albani Francesco";"attribué à";"17e";
"47.240212";"6.023507";10022;"La Sainte Famille avec sainte Elisabeth, saint Jean-Baptiste et des anges";"Musée des Beaux-Arts et d'Archéologie (Besançon)";"Albani Francesco";"attribué à";"17e";"folder_0004/folder_0050/elem_0038/FR25_0001_MUS_10022_0001_low.jpg"
"48.848978";"2.350274";133866;"Ecce Homo avec deux anges";"Eglise Saint-Nicolas-du-Chardonnet (Paris)";"Albani Francesco";"attribué à";"17e";
"45.833619";"1.261105";30465;"L'Air";"Musée des Beaux-Arts (Limoges)";"Albani Francesco";"attribué à";"17e";"folder_0004/folder_0075/elem_0177/FR87_0001_MUS_30465_0010_low.jpg"
"48.00611";"0.199556";24510;"Le Repos de la Sainte Famille durant la Fuite en Egypte";"Musée de Tessé (Le Mans)";"Albani Francesco";"atelier de";"17e";"folder_0001/folder_0119/elem_0210/FR_72_0002_MUS_10241_0047_low.jpg"
"48.172402";"6.449403";10030;"Le Triomphe de Cybèle";"Musée départemental d'Art ancien et contemporain (Epinal)";"Albani Francesco";"atelier de";"17e";"folder_0004/folder_0009/elem_0042/FR88_0003_MUS_10030_0001_low.jpg"
"44.838946";"-0.581712";23687;"Vénus et adonis";"Musée des Beaux-Arts (Bordeaux)";"Albani Francesco";"copié d'après";"16e";"folder_0004/folder_0020/elem_0066/FR33_0001_MUS_23687_0140_low.jpg"
"48.860591";"2.337582";23505;"Actéon métamorphosé en cerf";"Musée du Louvre (Paris)";"Albani Francesco";"de";"17e";"folder_0003/folder_0120/elem_0070/FR75_0002_MUS_23505_0890_low.jpg"
"47.5860921";"1.3359475";31314;"Vénus au bain entourée d'amours";"Musée des Beaux-Arts (Blois)";"Albani Francesco";"copié d'après";"17e";"folder_0004/folder_0088/elem_0004/FR41_0001_MUS_31314_0198_low.jpg"
"48.402116";"2.699949";21509;"Vénus caressant des amours";"Musée national du Château (Fontainebleau)";"Albani Francesco";"copié d'après";"17e";
"48.860591";"2.337582";23516;"Adonis conduit près de Vénus par les Amours / L'Eau";"Musée du Louvre (Paris)";"Albani Francesco";"de";"17e";"folder_0003/folder_0118/elem_0125/FR75_0002_MUS_23516_0445_low.jpg"
"48.860591";"2.337582";13092;"Apollon et Daphné";"Musée du Louvre (Paris)";"Albani Francesco";"de";"17e";"folder_0003/folder_0119/elem_0011/FR75_0002_MUS_13092_0581_low.jpg"
"48.860591";"2.337582";23504;"Actéon métamorphosé en cerf";"Musée du Louvre (Paris)";"Albani Francesco";"de";"17e";"folder_0003/folder_0118/elem_0118/FR75_0002_MUS_23504_0438_low.jpg"
"43.610769";"3.876716";10040;"Adam et Ève chassés du Paradis terrestre";"Musée Fabre (Montpellier)";"Albani Francesco";"de";"17e";"folder_0003/folder_0247/elem_0190/FR34_0001_MUS_10040_0004_low.jpg"
"46.2574056";"6.103659";15221;"Les Amours désarmés";"Château de Voltaire (Ferney-Voltaire)";"Albani Francesco";"copié d'après";"17e";"folder_0003/folder_0199/elem_0115/FR75_0022_15221_0001_low.jpg"
"48.00611";"0.199556";24517;"Le Repos de la Sainte Famille pendant la fuite en Egypte";"Musée de Tessé (Le Mans)";"Albani Francesco";"copié d'après";"17e";"folder_0001/folder_0119/elem_0200/FR_72_0002_MUS_10208_0053_low.jpg"
"45.564601";"5.917781";94166;"Le Repos de Vénus et de Vulcain / Le Feu";"Musée des Beaux-Arts (Chambéry)";"Albani Francesco";"copié d'après";"17e";"folder_0003/folder_0010/elem_0056/FR73_0001_MUS_094166_0372_low.jpg"
"45.564601";"5.917781";20955;"Noli me tangere";"Musée des Beaux-Arts (Chambéry)";"Albani Francesco";"copié d'après";"17e";"folder_0003/folder_0009/elem_0183/FR73_0001_MUS_020955_0249_low.jpg"
"43.296482";"5.36978";23964;"Sainte Famille";"Musée des Beaux-Arts (Marseille)";"Albani Francesco";"copié d'après";"17e";"folder_0004/folder_0092/elem_0134/FR13_0009_MUS_23964_0052_low.jpg"
"46.580224";"0.340375";26077;"Les Amours désarmés par une nymphe";"Musée Sainte-Croix (Poitiers)";"Albani Francesco";"copié d'après";"17e";"folder_0001/folder_0124/elem_0142/FR86_0010_MUS_D873162_0007_low.jpg"
"49.182863";"-0.370679";15288;"Lucrèce se donnant la mort";"Musée des Beaux-Arts (Caen)";"Albani Francesco";"copié d'après";"19e";
"49.045045";"-1.446945";94178;"La Toilette de Vénus";"Musée Quesnel-Morinière (Coutances)";"Albani Francesco";"copié d'après";"17e";
"41.919229";"8.738635";140446;"La Toilette de Vénus";"Palais Fesch-musée des beaux-arts (Ajaccio)";"Albani Francesco";"copié d'après";"non précisé";"folder_0004/folder_0082/elem_0127/FR2A_0003_MUS_140446_0464_low.jpg"
"45.564601";"5.917781";94156;"La Toilette de Vénus / L'Air";"Musée des Beaux-Arts (Chambéry)";"Albani Francesco";"copié d'après";"17e";"folder_0003/folder_0010/elem_0055/FR73_0001_MUS_094156_0371_low.jpg"
"48.860591";"2.337582";15291;"La Toilette de Vénus";"Musée du Louvre (Paris)";"Albani Francesco";"copié d'après";"non précisé";
"48.902025";"2.813534";25671;"Le Baptême du Christ";"Eglise Saint-Jean-Baptiste (Esbly)";"Albani Francesco";"copié d'après";"17e";"folder_0002/folder_0148/elem_0216/FR77_0001_REL_UK_25671_0037_low.jpg"
"47.866918";"1.891432";24985;"Le repos de la Sainte Famille / La laveuse";"Eglise Saint-Martin (Olivet)";"Albani Francesco";"copié d'après";"17e";"folder_0004/folder_0075/elem_0168/UK_24985_low.jpg"
"45.88753";"4.623138";25406;"La Vierge et l'Enfant entre deux anges";"Eglise Notre-Dame-de-la-Nativité (Chessy)";"Albani Francesco";"copié d'après";"17e";
"48.956682";"4.363073";127820;"La Vierge et l'Enfant servis par les anges";"Musée des Beaux-Arts et d'Archéologie (Châlons-en-Champagne)";"Albani Francesco";"copié d'après";"17e";"folder_0002/folder_0111/elem_0185/FR_51_003_MUS_UK_127820_low.jpg"
"45.564601";"5.917781";96866;"L'Olympe";"Musée des Beaux-Arts (Chambéry)";"Albani Francesco";"copié d'après";"18e";"folder_0003/folder_0010/elem_0071/FR73_0001_MUS_096866_0387_low.jpg"
"49.047642";"-1.44413";24998;"La Lessive de la Sainte Famille";"Cathédrale Notre-Dame (Coutances)";"Albani Francesco";"copié d'après";"17e";"folder_0002/folder_0017/elem_0226/FR50_0004_REL_UK_24998_0001_low.jpg"
"43.515244";"0.403424";30866;"L'Enlèvement d'Europe";"Musée des Beaux-Arts et des Arts décoratifs (Mirande)";"Albani Francesco";"copié d'après";"17e";"folder_0003/folder_0190/elem_0211/FR32_0002_30866_0003_low.jpg"
"48.860591";"2.337582";13098;"L'Enlèvement d'Europe";"Musée du Louvre (Paris)";"Albani Francesco";"copié d'après";"17e";"folder_0004/folder_0091/elem_0235/FR_75_0002_MUS_13098_1339_low.jpg"
"46.2574056";"6.103659";15691;"La Toilette de Vénus";"Château de Voltaire (Ferney-Voltaire)";"Albani Francesco";"copié d'après";"17e";"folder_0003/folder_0199/elem_0121/FR75_0022_15691_0004_low.jpg"
"47.3162833";"-0.1483461";31524;"La Toilette de Vénus";"Hôtel de Ville (Saumur)";"Albani Francesco";"copié d'après";"16e";"folder_0001/folder_0117/elem_0229/FR_49_0004_ADM_D87211_0002_low.jpg"
"44.933393";"4.89236";24898;"La Sainte Famille dans un paysage";"Cathédrale Saint-Apollinaire (Valence)";"Albani Francesco";"copié d'après";"17e";
"48.850209";"2.363576";131033;"La Toilette de Vénus";"Bibliothèque de l'Arsenal (Paris)";"Albani Francesco";"copié d'après";"17e";
"48.402116";"2.699949";31542;"Neptune et Amphitrite ou L'Allégorie du Monde Marin";"Musée national du Château (Fontainebleau)";"Albani Francesco";"de";"17e";"folder_0002/folder_0148/elem_0229/FR77_0005_MUS_UK_31542_0036_low.jpg"
"48.801408";"2.130122";12774;"Portrait de l'artiste";"Musée national des châteaux de Versailles et de Trianon (Versailles)";"Albani Francesco";"de";"17e";
"48.860591";"2.337582";23515;"Les Amours désarmés par les nymphes de Diane / La Terre";"Musée du Louvre (Paris)";"Albani Francesco";"de";"17e";"folder_0003/folder_0118/elem_0124/FR75_0002_MUS_23515_0444_low.jpg"
"43.610769";"3.876716";10041;"Loth et ses filles";"Musée Fabre (Montpellier)";"Albani Francesco";"de";"17e";"folder_0003/folder_0247/elem_0191/FR34_0001_MUS_10041_0005_low.jpg"
"49.182863";"-0.370679";10023;"Tête de la Vierge";"Musée des Beaux-Arts (Caen)";"Albani Francesco";"de";"17e";"folder_0002/folder_0014/elem_0197/FR14_0001_MUS_UK_10023_0074_low.jpg"
"46.567298";"3.330503";21463;"Ulysse chez Circé";"Musée Anne de Beaujeu (Moulins)";"Albani Francesco";"de";"17e";
"48.860591";"2.337582";23512;"Saint François d'Assise en oraison devant un crucifix";"Musée du Louvre (Paris)";"Albani Francesco";"de";"17e";"folder_0003/folder_0118/elem_0122/FR75_0002_MUS_23512_0442_low.jpg"
"48.860591";"2.337582";23503;"Salmacis et Hermaphrodite";"Musée du Louvre (Paris)";"Albani Francesco";"de";"17e";"folder_0003/folder_0118/elem_0117/FR75_0002_MUS_23503_0437_low.jpg"
"50.36667";"3.06667";22003;"Le génie de la poésie";"Douai";"Albani Francesco";"de";"17e";
"48.860591";"2.337582";10043;"Le Père Éternel et l'ange Gabriel";"Musée du Louvre (Paris)";"Albani Francesco";"de";"17e";"folder_0004/folder_0091/elem_0220/FR_75_0002_MUS_10043_1324_low.jpg"
"48.2973451";"4.0744009";10044;"Le Christ en Croix adoré par deux anges";"Musée d'Art, d'Archéologie et de Sciences naturelles (Troyes)";"Albani Francesco";"de";"17e";"folder_0002/folder_0014/elem_0196/FR10_0001_MUS_UK_10044_0066_low.jpg"
"45.194985";"5.732257";11429;"Le Christ servi par les anges";"Musée de Grenoble";"Albani Francesco";"de";"17e";"folder_0003/folder_0013/elem_0171/FR38_0001_MUS_011429_0032_low.jpg"
"48.402116";"2.699949";21506;"Le Repos pendant la Fuite en Egypte";"Musée national du Château (Fontainebleau)";"Albani Francesco";"de";"17e";"folder_0002/folder_0148/elem_0212/FR77_0005_MUS_UK_21506_0033_low.jpg"
"48.402116";"2.699949";21505;"Le Repos pendant la Fuite en Egypte";"Musée national du Château (Fontainebleau)";"Albani Francesco";"de";"17e";"folder_0002/folder_0148/elem_0211/FR77_0005_MUS_UK_21505_0032_low.jpg"
"48.860591";"2.337582";13088;"Le Repos de Vénus et de Vulcain / Vénus ordonne aux amours de forger de nouveaux traits pour blesser le cœur d'Adonis / Le Feu";"Musée du Louvre (Paris)";"Albani Francesco";"de";"17e";"folder_0003/folder_0119/elem_0010/FR75_0002_MUS_13088_0580_low.jpg"
"45.194985";"5.732257";10035;"Le Repos pendant la Fuite en Egypte";"Musée de Grenoble";"Albani Francesco";"de";"17e";"folder_0003/folder_0014/elem_0024/RF38_0001_MUS_010035_0001_low.jpg"
"47.321625";"5.042354";10028;"La Sainte Famille avec l'enfant Jésus regardant les instruments de la Passion";"Musée des Beaux-Arts (Dijon)";"Albani Francesco";"de";"17e";"folder_0003/folder_0006/elem_0111/FR21_0003_MUS_010028_0001_low.jpg"
"48.860591";"2.337582";23513;"La Toilette de Vénus / L'Air";"Musée du Louvre (Paris)";"Albani Francesco";"de";"17e";"folder_0003/folder_0118/elem_0123/FR75_0002_MUS_23513_0443_low.jpg"
"48.860591";"2.337582";23388;"La Nativité";"Musée du Louvre (Paris)";"Albani Francesco";"de";"17e";"folder_0003/folder_0120/elem_0037/FR75_0002_MUS_23388_0857_low.jpg"
"45.764043";"4.835659";10037;"La Prédication de saint Jean-Baptiste";"Musée des Beaux-Arts (Lyon)";"Albani Francesco";"de";"17e";"folder_0003/folder_0214/elem_0196/FR69_0007_MUS_10037_0001_low.jpg"
"45.764043";"4.835659";10038;"Le Baptême du Christ";"Musée des Beaux-Arts (Lyon)";"Albani Francesco";"de";"17e";"folder_0003/folder_0214/elem_0197/FR69_0007_MUS_10038_0002_low.jpg"
"48.860591";"2.337582";23511;"Le Christ apparaissant à Marie-Madeleine / Le Christ et la Madeleine";"Musée du Louvre (Paris)";"Albani Francesco";"de";"17e";"folder_0003/folder_0118/elem_0121/FR75_0002_MUS_23511_0441_low.jpg"
"43.529742";"5.447427";10021;"La Vierge lisant avec l'enfant Jésus";"Musée Granet (Aix-en-Provence)";"Albani Francesco";"de";"17e";"folder_0003/folder_0010/elem_0139/FR13_0001_MUS_010021_0002_low.jpg"
"47.089535";"5.489201";10029;"Latone métamorphosant des paysans de Lycie en grenouille";"Musée des Beaux-Arts (Dole)";"Albani Francesco";"de";"17e";"folder_0004/folder_0016/elem_0052/FR39_0001_MUS_10029_0001_low.jpg"
"50.36667";"3.06667";22074;"L'âge d'or";"Douai";"Albani Francesco";"de";"17e";
"48.9471901";"2.1539265";10039;"L'Annonciation";"Château de Maisons (Maisons-Laffitte)";"Albani Francesco";"de";"17e";
"48.402116";"2.699949";21507;"Apollon et Mercure ou L'Allégorie du Monde céleste";"Musée national du Château (Fontainebleau)";"Albani Francesco";"de";"17e";"folder_0002/folder_0148/elem_0213/FR77_0005_MUS_UK_21507_0034_low.jpg"
"48.402116";"2.699949";21504;"Cybèle et les Saisons ou L'Allégorie de la Terre / Le Triomphe de Cybèle";"Musée national du Château (Fontainebleau)";"Albani Francesco";"de";"17e";"folder_0002/folder_0148/elem_0210/FR77_0005_MUS_UK_21504_0031_low.jpg"
"49.6288218";"-1.6188109";10024;"La Circoncision";"Musée Thomas Henry (Cherbourg)";"Albani Francesco";"de";"17e";"folder_0001/folder_0248/elem_0087/FR50_0002_MUS_8352_0014_low.jpg"
"48.860591";"2.337582";13096;"La Déploration du Christ";"Musée du Louvre (Paris)";"Albani Francesco";"de";"17e";"folder_0003/folder_0119/elem_0013/FR75_0002_MUS_13096_0583_low.jpg"
"47.321625";"5.042354";21466;"L'Annonciation";"Musée des Beaux-Arts (Dijon)";"Albani Francesco";"de";"17e";"folder_0003/folder_0007/elem_0017/FR21_0003_MUS_021466_0157_low.jpg"
"48.860591";"2.337582";21472;"L'Annonciation";"Musée du Louvre (Paris)";"Albani Francesco";"de";"17e";"folder_0003/folder_0119/elem_0047/FR75_0002_MUS_21472_0617_low.jpg"
"46.567298";"3.330503";29994;"Vénus arrivant chez Vulcain";"Musée Anne de Beaujeu (Moulins)";"Albani Francesco";"école de";"17e";"folder_0001/folder_0247/elem_0131/FR03_0004_MUS_794_0003_low.jpg"
"49.484963";"0.102697";10047;"Moïse sauvé des eaux";"Musée d'art moderne André Malraux - MuMa (Le Havre)";"Albani Francesco";"entourage de";"17e";"folder_0001/folder_0250/elem_0011/FR76_0004_MUS_2_0007_low.jpg"
"48.860591";"2.337582";13095;"Vénus et Adonis";"Musée du Louvre (Paris)";"Albani Francesco";"de";"17e";"folder_0003/folder_0119/elem_0012/FR75_0002_MUS_13095_0582_low.jpg"
"43.232951";"0.078082";137306;"Le Sauveur";"Musée Massey (Tarbes)";"Albani Francesco";"école de";"17e";
"47.240212";"6.023507";227024;"Vénus au bain entourée de putti";"Musée des Beaux-Arts et d'Archéologie (Besançon)";"Albani Francesco";"suite de";"17e";"folder_0004/folder_0090/elem_0183/FR25_0001_MUS_227024_0170_low.jpg"
"43.836699";"4.360054";10049;"Les Nymphes de Diane au bain";"Musée des Beaux-Arts (Nîmes)";"Albani Francesco";"genre de";"17e";"folder_0004/folder_0083/elem_0208/FR30_0013_MUS_10049_0001_low.jpg"
"44.0221252";"1.3529599";21049;"Bellone / Sujet allégorique : Bellone";"Musée Ingres (Montauban)";"Albani Francesco";"suite de";"17e";"folder_0003/folder_0246/elem_0225/FR82_0001_MUS_21049_0040_low.jpg"
"44.100819";"4.756216";25764;"Le Repos pendant la fuite en Egypte";"Eglise paroissiale Saint-Michel (Caderousse)";"Albani Francesco";"copié d'après";"17e";"folder_0003/folder_0143/elem_0013/FR75_0001_MED_025764_210_low.jpg"
"48.858982";"2.357781";133904;"L'Annonciation";"Eglise Notre-Dame-des-Blancs-Manteaux (Paris)";"Albani Francesco";"copié d'après";"non précisé";"folder_0003/folder_0241/elem_0053/FR75_0038_REL_133904_0002_low.jpg"
"48.693444";"6.182247";27331;"Portrait d'homme tenant une flèche / Le vieil arbalétrier";"Musée des Beaux-Arts (Nancy)";"Alberti Cherubino";"anciennement attribué à";"17e";"folder_0004/folder_0005/elem_0212/FR54_0001_MUS_27331_0054_low.jpg"
"45.250034";"4.99373";24880;"Saint François recevant les stigmates";"Eglise (Hauterives)";"Alberti Paolo";"attribué à";"19e";
"44.933393";"4.89236";24896;"La Vierge et l'Enfant avec saint Jérôme, le petit saint Jean-Baptiste et anges";"Cathédrale Saint-Apollinaire (Valence)";"Albertinelli Mariotto";"copié d'après";"16e";"folder_0003/folder_0199/elem_0147/FR75_0001_MED_24896_235_low.jpg"
"48.859621";"2.305186";25594;"La Visitation";"Eglise Saint-Pierre-du-Gros-Caillou (Paris)";"Albertinelli Mariotto";"copié d'après";"19e";"folder_0003/folder_0240/elem_0232/FR75_0001_MED_25594_0313_low.jpg"
"43.232951";"0.078082";137304;"La Sainte Famille";"Musée Massey (Tarbes)";"Albertinelli Mariotto";"attribué à";"15e";"folder_0003/folder_0166/elem_0119/FR65_0001_137304_0001_low.jpg"
